unit_id,apn,bedrooms,mar_status,parcel_unit_count,size_class,use_class,rcb_comparable
2600-virginia-ave-4,4274004056,3+,controlled,24,multifamily,five_plus,1
2600-virginia-ave-5,4274004056,3+,controlled,24,multifamily,five_plus,1
2600-virginia-ave-6,4274004056,3+,controlled,24,multifamily,five_plus,1
2600-virginia-ave-7,4274004056,3+,controlled,24,multifamily,five_plus,1
2600-virginia-ave-8,4274004056,3+,controlled,24,multifamily,five_plus,1
2600-virginia-ave-9,4274004056,3+,controlled,24,multifamily,five_plus,1
2601-14th-st,4285004011,2,controlled,8,multifamily,five_plus,1
2601-20th-st-1,4273019011,2,controlled,6,multifamily,five_plus,1
2601-20th-st-2,4273019011,1,controlled,6,multifamily,five_plus,1
2601-20th-st-3,4273019011,2,controlled,6,multifamily,five_plus,1
2601-20th-st-4,4273019011,2,controlled,6,multifamily,five_plus,1
2601-20th-st-5,4273019011,1,controlled,6,multifamily,five_plus,1
2601-20th-st-6,4273019011,2,controlled,6,multifamily,five_plus,1
2601-22nd-st,4273015010,0,zero_mar,3,small,two_three,0
2601-23rd-st,4273012009,2,controlled,2,small,two_three,0
2601-28th-st-a,4270015054,3+,controlled,3,small,two_three,0
2601-28th-st-b,4270015054,2,controlled,3,small,two_three,0
2601-28th-st-c,4270015054,2,controlled,3,small,two_three,0
2601-2nd-st,4287010041,3+,controlled,3,small,two_three,0
2601-7th-st,4287016018,2,controlled,4,multifamily,four,1
2601-arizona-ave-1,4267007019,1,controlled,6,multifamily,five_plus,1
2601-arizona-ave-2,4267007019,1,controlled,6,multifamily,five_plus,1
2601-broadway,4267021015,1,controlled,5,multifamily,five_plus,1
2601-centinela-ave-a,4270017034,2,controlled,12,multifamily,five_plus,1
2601-centinela-ave-b,4270017034,2,controlled,12,multifamily,five_plus,1
2602-11th-st,4285001024,1,controlled,7,multifamily,five_plus,1
2602-3rd-st,4287010022,1,controlled,4,multifamily,four,1
2602-7th-st,4287015047,1,controlled,1,single,single,0
2602-santa-monica-blvd-a,4267021006,0,zero_mar,8,multifamily,five_plus,0
2602-santa-monica-blvd-b,4267021006,0,zero_mar,8,multifamily,five_plus,0
2602-santa-monica-blvd-c,4267021006,1,controlled,8,multifamily,five_plus,1
2602-santa-monica-blvd-d,4267021006,1,controlled,8,multifamily,five_plus,1
2603-22nd-st,4273015010,1,controlled,3,small,two_three,0
2603-22nd-st-a,4273015010,2,controlled,3,small,two_three,0
2603-23rd-st,4273012009,3+,controlled,2,small,two_three,0
2603-3rd-st-1,4287011021,2,controlled,10,multifamily,five_plus,1
2603-3rd-st-10,4287011021,2,controlled,10,multifamily,five_plus,1
2603-3rd-st-2,4287011021,2,controlled,10,multifamily,five_plus,1
2603-3rd-st-3,4287011021,2,controlled,10,multifamily,five_plus,1
2603-3rd-st-4,4287011021,1,controlled,10,multifamily,five_plus,1
2603-3rd-st-5,4287011021,2,controlled,10,multifamily,five_plus,1
2603-3rd-st-6,4287011021,2,controlled,10,multifamily,five_plus,1
2603-3rd-st-7,4287011021,1,controlled,10,multifamily,five_plus,1
2603-3rd-st-8,4287011021,1,controlled,10,multifamily,five_plus,1
2603-3rd-st-9,4287011021,1,controlled,10,multifamily,five_plus,1
2603-7th-st,4287016018,2,controlled,4,multifamily,four,1
2603-broadway,4267021015,1,controlled,5,multifamily,five_plus,1
2603-centinela-ave-a,4270017034,1,controlled,12,multifamily,five_plus,1
2603-centinela-ave-b,4270017034,1,controlled,12,multifamily,five_plus,1
2603-centinela-ave-c,4270017034,1,controlled,12,multifamily,five_plus,1
2603-centinela-ave-d,4270017034,1,controlled,12,multifamily,five_plus,1
2604-11th-st,4285001024,1,controlled,7,multifamily,five_plus,1
2604-28th-st-1,4270014052,3+,controlled,7,multifamily,five_plus,1
2604-28th-st-2,4270014052,2,controlled,7,multifamily,five_plus,1
2604-28th-st-3,4270014052,2,controlled,7,multifamily,five_plus,1
2604-28th-st-4,4270014052,2,controlled,7,multifamily,five_plus,1
2604-28th-st-5,4270014052,2,controlled,7,multifamily,five_plus,1
2604-28th-st-6,4270014052,3+,controlled,7,multifamily,five_plus,1
2604-28th-st-7,4270014052,3+,controlled,7,multifamily,five_plus,1
2604-santa-monica-blvd-a,4267021006,1,controlled,8,multifamily,five_plus,1
2604-santa-monica-blvd-b,4267021006,1,controlled,8,multifamily,five_plus,1
